OrderAt Date,customer Name,outletType,Producer,Product,Category Group,Quantity, Unit Price ,shippingStatus,Delivery Agent,state,country,currency,salesChannel,sales price,sales price usd,order category,,ng,
7/1/2021 1:30,Mummy Marvelous Store,Supermarket,Chi Nigeria Limited,Hollandia Evap. Milk,Breakfast & Snacks ,2," 3,200 ",delivered,Kayode  Oluwashina,Lagos,NG,NGN,Telesales," 6,400 ",15.92039801,low end,,NGN,402
7/1/2021 1:30,Mummy Marvelous Store,Supermarket,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,2," 3,500 ",cancelled,Edem Ebia,Lagos,NG,NGN,Telesales," 7,000 ",17.41293532,low end,,ZAR,14.72
7/1/2021 1:57,Facodon,Convenience Store,DUFIL Prima foods Plc,Indomie Indomitable Pack,Food,5," 2,400 ",delivered,Edem Ebia,Lagos,NG,NGN,Telesales," 12,000 ",29.85074627,low end,,,
7/1/2021 4:19,Mrs Omolara,Kiosk,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,9," 3,500 ",delivered,Idris Habib Adewale,Lagos,NG,NGN,Telesales," 31,500 ",78.35820896,low end,,,
7/1/2021 6:26,Adeyemi Stores,Convenience Store,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,10," 3,500 ",delivered,Deji  Ibironke,Lagos,NG,NGN,Field Sales," 35,000 ",87.06467662,low end,,,
7/1/2021 6:38,Adeez Store,Convenience Store,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,10," 3,500 ",delivered,Bolaji Olasunkanmi,Lagos,NG,NGN,Field Sales," 35,000 ",87.06467662,low end,,,
7/1/2021 6:45,Kfm Olayiwola Ventures,Supermarket,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,20," 3,500 ",delivered,"Adewale 	 Mustapha",Lagos,NG,NGN,Field Sales," 70,000 ",174.1293532,low end,,,
7/1/2021 6:50,Ajoseph Store,Convenience Store,Unilever Nigeria Plc,Close up,Personal Care,50," 4,900 ",delivered,"Adewale 	 Mustapha",Lagos,NG,NGN,Field Sales," 245,000 ",609.4527363,low end,,,
7/1/2021 7:02,Sebenzisa Tuck Shop,Convenience Store,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 84 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 84 ,5.68138587,low end,,,
7/1/2021 7:04,Iya Solo Alaba,Kiosk,Unilever Nigeria Plc,Lipton Special,Breakfast & Snacks ,20," 3,500 ",delivered,Olanrewaju  Dare Emmanuel,Lagos,NG,NGN,Field Sales," 70,000 ",174.1293532,low end,,,
7/1/2021 7:15,Charley Stores,Supermarket,Extreme Manufacturing Nig Ltd,Indomie Super Pack,Food,100," 2,500 ",delivered,Saheed  Olugbenga-Rufus,Lagos,NG,NGN,Field Sales," 250,000 ",621.8905473,low end,,,
7/1/2021 7:27,Family Tuck Shop,Supermarket,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 120 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 120 ,8.148777174,low end,,,
7/1/2021 7:27,Family Tuck Shop,Supermarket,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 51 ,3.47826087,low end,,,
7/1/2021 7:27,Family Tuck Shop,Supermarket,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 7:38,Yarona,Supermarket,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 7:38,Yarona,Supermarket,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 51 ,3.47826087,low end,,,
7/1/2021 7:43,Micheal Tuck Shop,Kiosk,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 84 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 84 ,5.68138587,low end,,,
7/1/2021 7:43,Micheal Tuck Shop,Kiosk,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 51 ,3.47826087,low end,,,
7/1/2021 7:46,Phase 3 Discount Tuck Shop,Kiosk,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Telesales, 76 ,5.1875,low end,,,
7/1/2021 7:46,Phase 3 Discount Tuck Shop,Kiosk,Unilever SA,OMO  ,Home Care,2, 51 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Telesales, 102 ,6.956521739,low end,,,
7/1/2021 7:46,Phase 3 Discount Tuck Shop,Kiosk,Unilever SA,Sunlight Laundry Detergent  ,Home Care,2, 89 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Telesales, 179 ,12.14130435,low end,,,
7/1/2021 7:54,Uche Store Alaba Sure,Kiosk,Extreme Manufacturing Nig Ltd,So Easy,Home Care,5," 3,200 ",delivered,Olanrewaju  Dare Emmanuel,Lagos,NG,NGN,Field Sales," 16,000 ",39.80099502,low end,,,
